2,1,860.0213,1.1542
2,1,136.2702,1.0429
2,1,142.361,0.943
3,1,211.1,0.9635
3,1,204.7103,0.9896
3,1,213.8865,0.9514
3,2,251.4938,1.9384
3,2,234.4618,1.7069
3,2,217.365,1.0827
4,1,292.0565,1.8006
4,1,266.5545,0.9763
4,1,226.4654,1.0017
4,2,250.8127,1.5451
4,2,303.3903,1.1931
4,2,259.07,1.4013
4,3,269.4435,1.391
4,3,259.3129,1.3559
4,3,275.4532,3.0209
5,1,355.6038,1.0029
5,1,341.5263,1.0395
5,1,325.0824,0.9804
5,2,309.4045,1.5285
5,2,335.235,1.3448
5,2,305.4212,1.4473
5,3,303.4397,1.6229
5,3,297.1523,3.0135
5,3,300.8781,2.2397
5,4,324.3064,12.535
5,4,328.7652,3.5757
5,4,352.2538,4.3827
