group,pk,sk,exchange,attack
s16,4,1,131421,19
s16,4,1,131455,19
s16,4,1,129869,22
s16,4,1,129542,20
s16,4,1,129822,16
s16,4,1,129020,19
s16,4,1,129278,17
s16,4,1,128741,20
s16,4,1,129401,17
s16,4,1,128858,16
s16,4,1,129347,12
s16,4,1,129332,20
s16,4,1,129385,18
s16,4,1,129735,20
s16,4,1,129434,19
s16,4,1,128979,18
s16,4,1,129112,24
s16,4,1,128729,15
s16,4,2,130205,67
s16,4,2,128383,61
s16,4,2,128772,45
s16,4,2,129340,85
s16,4,2,129083,67
s16,4,2,129629,70
s16,4,2,128520,69
s16,4,2,130062,34
s16,4,2,130102,24
s16,4,2,129934,22
s16,4,2,132298,50
s16,4,2,138407,77
s16,4,2,138404,57
s16,4,2,137909,84
s16,4,2,130846,96
s16,4,2,128488,79
s16,4,2,130485,19
s16,4,2,129692,58
s16,4,2,129407,42
s16,4,2,135891,40
s16,4,2,136329,60
s16,4,2,133864,94
s16,4,2,130818,51
s16,4,2,129147,81
s16,4,2,129815,42
s16,4,3,130139,599
s16,4,3,131442,686
s16,4,3,130593,173
s16,4,3,130649,331
s16,4,3,131371,526
s16,4,3,160705,86
s16,4,3,132670,344
s16,4,3,131830,176
s16,4,3,131172,383
s16,4,3,131264,540
s16,4,3,135379,407
s16,4,3,131202,226
s16,4,3,132783,226
s16,4,3,132798,357
s16,4,3,131472,349
s16,4,3,129217,199
s16,4,3,129072,392
s16,4,3,129400,255
s16,4,3,127803,750
s16,4,3,127719,643
s16,4,3,128448,76
s16,4,3,127477,575
s16,4,3,127810,334
s16,4,3,128152,565
s16,4,3,127581,713
s3,2,1,38643,12
s3,2,1,38405,6
s3,2,1,48941,7
s3,2,1,40458,8
s3,2,1,48485,7
s3,2,1,40025,8
s3,2,1,50118,9
s3,2,1,50304,6
s3,2,1,40195,6
s3,2,1,50770,8
s3,2,1,39581,8
s3,2,1,38601,8
s3,2,1,39160,9
s3,2,1,37496,5
s3,2,1,38868,6
s3,2,1,38417,9
s3,2,1,38933,8
s3,2,1,57209,6
s3,2,1,39598,7
s3,2,1,49518,8
s3,2,1,39302,5
s3,2,1,39145,9
s3,2,1,38620,7
s3,2,1,39684,8
s3,2,1,49633,9
s3,3,1,68780,16
s3,3,1,97360,8
s3,3,1,79579,9
s3,3,1,58525,11
s3,3,1,68672,12
s3,3,1,69790,11
s3,3,1,57807,10
s3,3,1,88322,10
s3,3,1,67234,8
s3,3,1,67784,8
s3,3,1,58080,8
s3,3,1,65927,7
s3,3,1,69313,13
s3,3,1,68161,10
s3,3,1,77027,10
s3,3,1,79349,10
s3,3,1,58358,11
s3,3,1,83387,7
s3,3,1,77375,12
s3,3,1,70213,12
s3,3,1,69292,11
s3,3,1,78465,8
s3,3,1,70456,11
s3,3,1,77153,8
s3,3,1,59715,11
s3,3,2,96724,15
s3,3,2,70443,15
s3,3,2,59196,16
s3,3,2,76889,11
s3,3,2,67194,13
s3,3,2,58725,18
s3,3,2,89915,13
s3,3,2,68620,11
s3,3,2,70160,13
s3,3,2,88198,10
s3,3,2,68355,12
s3,3,2,74414,10
s3,3,2,69786,9
s3,3,2,87388,12
s3,3,2,80636,14
s3,3,2,70540,11
s3,3,2,60715,16
s3,3,2,78381,14
s3,3,2,69633,14
s3,3,2,70312,12
s3,3,2,90716,11
s3,3,2,56996,8
s3,3,2,59877,14
s3,3,2,89880,11
s3,3,2,70316,16
s3,4,1,119364,12
s3,4,1,88997,11
s3,4,1,87337,9
s3,4,1,117772,9
s3,4,1,107722,10
s3,4,1,78629,11
