group,pk,sk,exchange,attack,cardinality
s4,6,3,90749,45,24
s4,6,3,90070,60,24
s4,6,4,112024,33,24
s4,6,4,97837,69,24
s4,6,4,105271,44,24
s4,6,4,112864,44,24
s4,6,4,108712,22,24
s4,6,4,96835,63,24
s4,6,4,94791,34,24
s4,6,4,111874,17,24
s4,6,4,104489,21,24
s4,6,4,90085,39,24
s4,6,4,95647,31,24
s4,6,4,98053,37,24
s4,6,4,102400,86,24
s4,6,4,98632,45,24
s4,6,4,88166,34,24
s4,6,4,106666,34,24
s4,6,4,89284,24,24
s4,6,4,99263,38,24
s4,6,4,92697,65,24
s4,6,4,128610,37,24
s4,6,4,87101,47,24
s4,6,4,103556,63,24
s4,6,4,107192,39,24
s4,6,4,91067,54,24
s4,6,4,126987,14,24
s4,6,5,89863,52,24
s4,6,5,118451,146,24
s4,6,5,110664,33,24
s4,6,5,117091,25,24
s4,6,5,105068,48,24
s4,6,5,102571,89,24
s4,6,5,107749,24,24
s4,6,5,98779,42,24
s4,6,5,95763,130,24
s4,6,5,99729,42,24
s4,6,5,105676,40,24
s4,6,5,102862,22,24
s4,6,5,97671,20,24
s4,6,5,97691,27,24
s4,6,5,103426,73,24
s4,6,5,98330,43,24
s4,6,5,96706,43,24
s4,6,5,98150,35,24
s4,6,5,103890,48,24
s4,6,5,88938,20,24
s4,6,5,99738,123,24
s4,6,5,111981,48,24
s4,6,5,113117,19,24
s4,6,5,112749,42,24
s4,6,5,106247,39,24
s5,6,1,94660,22,120
s5,6,1,92007,18,120
s5,6,1,94975,22,120
s5,6,1,94255,17,120
s5,6,1,94911,19,120
s5,6,1,94744,14,120
s5,6,1,94668,20,120
s5,6,1,93702,20,120
s5,6,1,95511,14,120
s5,6,1,93941,12,120
s5,6,1,95316,20,120
s5,6,1,89204,14,120
s5,6,1,95999,20,120
s5,6,1,93544,14,120
s5,6,1,93752,15,120
s5,6,1,93677,22,120
s5,6,1,101898,16,120
s5,6,1,91491,15,120
s5,6,1,94973,16,120
s5,6,1,91462,13,120
s5,6,1,95559,21,120
s5,6,1,95684,22,120
s5,6,1,103159,18,120
s5,6,1,95507,20,120
s5,6,1,93331,19,120
s5,6,2,94018,27,120
s5,6,2,93143,60,120
s5,6,2,94980,21,120
s5,6,2,93667,45,120
s5,6,2,102627,74,120
s5,6,2,101117,35,120
s5,6,2,95741,42,120
s5,6,2,100899,47,120
s5,6,2,111174,46,120
s5,6,2,95684,87,120
s5,6,2,95417,56,120
s5,6,2,94937,31,120
s5,6,2,96076,45,120
s5,6,2,92699,65,120
s5,6,2,96785,133,120
s5,6,2,94161,104,120
s5,6,2,95829,41,120
s5,6,2,109107,42,120
s5,6,2,95081,44,120
s5,6,2,102237,39,120
s5,6,2,103783,46,120
s5,6,2,101330,77,120
s5,6,2,95923,34,120
s5,6,2,92328,88,120
s5,6,2,96196,37,120
s5,6,3,102190,125,120
s5,6,3,104496,434,120
s5,6,3,102711,167,120
s5,6,3,94334,200,120
s5,6,3,95026,74,120
s5,6,3,93738,174,120
s5,6,3,92147,131,120
s5,6,3,95964,75,120
s5,6,3,94355,15,120
s5,6,3,104310,66,120
s5,6,3,93073,118,120
s5,6,3,96440,46,120
s5,6,3,101372,68,120
s5,6,3,95492,93,120
s5,6,3,93676,177,120
s5,6,3,97846,101,120
s5,6,3,101028,132,120
s5,6,3,95782,97,120
s5,6,3,92222,130,120
s5,6,3,96004,323,120
s5,6,3,92449,160,120
s5,6,3,94878,236,120
s5,6,3,91173,18,120
s5,6,3,95685,33,120
s5,6,3,94463,390,120
s5,6,4,95667,336,120
s5,6,4,93598,114,120
s5,6,4,102839,71,120
s5,6,4,93178,29,120
s5,6,4,96696,155,120
s5,6,4,94749,186,120
s5,6,4,95380,407,120
s5,6,4,93475,29,120
s5,6,4,95103,61,120
s5,6,4,92536,495,120
s5,6,4,104529,276,120
s5,6,4,95021,69,120
s5,6,4,95409,147,120
s5,6,4,118884,111,120
s5,6,4,93282,470,120
s5,6,4,94271,271,120
s5,6,4,95097,129,120
s5,6,4,94139,141,120
s5,6,4,93872,45,120
s5,6,4,93138,382,120
s5,6,4,96310,603,120
s5,6,4,95193,352,120
s5,6,4,99703,340,120
s5,6,4,93656,139,120
s5,6,4,95714,366,120
s5,6,5,95316,41,120
s5,6,5,93805,132,120
s5,6,5,92957,221,120
s5,6,5,92258,268,120
s5,6,5,94332,89,120
s5,6,5,92370,91,120
s5,6,5,96536,58,120
s5,6,5,104104,251,120
s5,6,5,94354,144,120
s5,6,5,93414,66,120
s5,6,5,94949,328,120
s5,6,5,93955,332,120
s5,6,5,94872,232,120
s5,6,5,92486,180,120
